character_id,full_name,alternate_name,name,url,attributes,description
40,Luffy Monkey D.,モンキー・D・ルフィ,"Monkey D., Luffy",https://myanimelist.net/character/40/Luffy_Monkey_D,"[{""name"": ""Age"", ""value"": ""17; 19""}, {""name"": ""Birthdate"", ""value"": ""May 5, Taurus""}, {""name"": ""Height"", ""value"": ""172 cm""}, {""name"": ""Blood type"", ""value"": ""F""}, {""name"": ""Affiliation"", ""value"": ""Straw Hat Pirates""}, {""name"": ""Position"", ""value"": ""Captain""}, {""name"": ""Devil fruit"", ""value"": ""Gomu Gomu no Mi (Gum Gum Fruit),  Hito Hito no Mi (Human Human Fruit: Model Nika)""}, {""name"": ""Type"", ""value"": ""Paramecia,  Mythical Zoan""}, {""name"": ""Bounty"", ""value"": ""3,000,000,000 (previously: 30,000,000, 100,000,000, 300,000,000, 400,000,000, 500,000,000 and 1,500,000,000)""}]","Luffy is the captain of the Straw Hat Pirates and is best friends with all of them and values them over all else. At first glance, Luffy does not appear to be very intelligent, often seeing things in a childish manner and can easily be amazed by the simplest things. However, because he views the world in a straightforward and simple manner, he is occasionally the only person who can see past the events and see what should be done. Luffy seems to have an unstoppable appetite, a characteristic that is common to the Japanese archetype of the (at times simple-minded) young male hero/adventurer with a heart of gold; perhaps the hunger more so in Luffy's case due to having an elastic stomach. Luffy is also another one of the several characters given the middle initial ""D."" Although Luffy is fairly lightheaded and a funny character, he has an unstoppable sense of determination, optimism, and commitment and will do anything to stand up for his friends and comrades. Along with that, he has great courage to back it up as well as unbelievable strength. Ever since consuming the devil fruit he was shown to be not worried about his inability to swim, much like his brother. Much of these traits are common among D's. His only display of true fear is towards his grandfather, to the point that he is intimidated at the mere mention of him. Luffy never kills any of his enemies, no matter how cold-hearted they are; instead, he frequently sends the villain flying, knocking them out or beating them to a point that they are almost near death, which results in some of the villains searching for revenge, such as Buggy the Clown and Alvida. Oda explains that it's not a question of morality so much as a matter of punishing the villains for their crimes - he feels that killing the villains lets them off too lightly, whereas he considers letting them live to see their dreams be ruined a far more fitting punishment. Luffy's dream is to find the One Piece and become Pirate King. He knows that to achieve his goal, he will have to defeat many strong opponents, including the World Government and his childhood hero Shanks. Monkey D. Luffy is the son of Monkey D. Dragon, the leader of the Revolutionary Army and the world's most wanted criminal. His grandfather is ""The Hero of The Marines,"" Vice Admiral Monkey D. Garp. Before the start of the series, Dragon left Luffy in Garp's care. Dragon first appears after a lightning bolt suddenly destroys the gallows where Luffy was to be executed by Buggy the Clown and then saves Luffy from being captured by Captain Smoker. When he saved Luffy from Smoker, a mighty gust of eerie wind swept through Loguetown. It is undetermined whether or not he was the cause of the gust of wind or the lightning; however, the story leads to believe there is more to him than it seems. Recently, he has taken over an island in the South Blue and is about to head to the North Blue when he commented, after noticing Luffy's newest bounty, given to him after invading Enies Lobby, that father and son will meet sometime soon."
61,Robin Nico,ニコ・ロビン,"Nico, Robin",https://myanimelist.net/character/61/Robin_Nico,"[{""name"": ""Age"", ""value"": ""28; 30""}, {""name"": ""Birthdate"", ""value"": ""February 6, Aquarius""}, {""name"": ""Height"", ""value"": ""188cm (6'2\"")""}, {""name"": ""Sizes"", ""value"": ""99 - 59 - 89""}, {""name"": ""Affiliation"", ""value"": ""Straw Hat Pirates; Baroque Works (former)""}, {""name"": ""Position"", ""value"": ""Archaeologist""}, {""name"": ""Devil Fruit"", ""value"": ""Hana Hana no Mi (Flower Flower Fruit)""}, {""name"": ""Type"", ""value"": ""Paramecia""}, {""name"": ""Bounty"", ""value"": ""930,000,000 (previously: 79,000,000; 80,000,000; 130,000,000)""}]","Robin is the seventh member of Straw Hat's Crew. She had a bounty of 79 million beri (One Piece currency)  since she was eight years old, during an incident in which she supposedly destroyed six Buster Call ships through the use of the powers she gained by the eating the Hana Hana no Mi (Flower Flower or Blooming Blooming Fruit). The fruit's power enables her to conjure up multiple replicas of her body parts (most often her arms) upon any surface she is able to see making her very powerful and dexterous as a result. Robin joined the Straw Hat Pirates after Luffy saved her life, or (how she states it) Luffy forced her to live when she wanted to die. To atone for his crime, Robin demands that Luffy allow her to join his crew, to which he complies leaving every other crew member except Sanji in shock. Although feared at first, she is quickly accepted and viewed as a comrade by the crew. Robin is actually an archaeologist of talent, and despises anyone who thoughtlessly damages any piece of history. The World Government fears her because she can decipher Poneglyphs (stones marked with glyphs from an ancient language), which contain details capable of reviving ancient weapons that have the power to destroy the world. In reality, Robin has stated that she does not care about ancient weapons, and that her dream is to find the True History written on the Rio Poneglyph. Robin is a mysterious and serious person who appears quiet and reclusive, and the wisest in the Straw Hat's Crew. She was thought by those around her to be cold and mean, but it was proven that she is actually a kind person who always thinks before she acts. She often only speaks when something interesting or important has happened. She loves to study history, and the comfort and freedom to study and read. She is also quick to point out gross or realistically morbid facts, often creeping out Nami or Usopp. Robin is the wisest and most sensible member of the crew. She has a vast knowledge of the seas and the world, and usually keeps her head during surprising situations, allowing her to logically analyze the situation without losing her cool. This trait makes her different from the other Straw Hats, who often comically react melodramatically to unexpected happenings and hold irrational ideas and conclusions. Despite her attempts to keep herself distant, Robin has fallen for her new friends, and has taken the role of the distant den mother."
62,Zoro Roronoa,ロロノア・ゾロ,"Roronoa, Zoro",https://myanimelist.net/character/62/Zoro_Roronoa,"[{""name"": ""Age"", ""value"": ""19; 21""}, {""name"": ""Birthdate"", ""value"": ""November 11, Scorpio""}, {""name"": ""Height"", ""value"": ""178 cm (5'10\"") , 181 (5'11\"") (after timeskip)""}, {""name"": ""Affiliation"", ""value"": ""Straw Hat Pirates""}, {""name"": ""Position"", ""value"": ""Swordsman""}, {""name"": ""Devil Fruit"", ""value"": ""None""}, {""name"": ""Bounty"", ""value"": ""1,111,000,000 (previously: 60,000,000, 120,000,000 and 320,000,000)""}]","Zoro was the first crew member to be recruited by Luffy. Zoro is a skilled swordsman who fights with his own unique sword style known as santoryu (three katana fighting style). This is achieved by using one katana in each hand and another in his mouth. He is also seen fighting with only one or two swords. When in a serious fight he ties his bandana, normally tied on the arm, on his head. Though not a samurai, he appears to maintain a certain degree of bushido, and is frequently mistaken for one. Unlike Luffy and most of the other Straw Hat pirates, Zoro has been known to kill his opponents if he has to, though never in cold blood. Zoro has a stern, serious and distanced personality, but, unlike Robin, he often reacts in a goofy and exaggerated comic style due to his gruff, impatient attitude. On the ship, he normally either trains with weights or sleeps. The only work he is seen doing regularly is hoisting the anchor using his great strength. He also likes sake, almost to the degree that Luffy likes meat, but like Nami, he never gets drunk due to his inhumanly-high endurance and tolerance for alcohol. Another notable trait is his lack of orientation, as Zoro often gets lost, even in small, familiar spaces or when being led by someone. Despite this, he is often the first to sense an enemy or danger, and the first to react. He is often displayed being well aware of dangerous situations and people around him. Zoro often also reminds others of the harsh facts, which often shocks some of the other crew members, although they usually decide he is right. Zoro has also stated that he is an atheist, and has never believed in anything except himself. He often comes across as arrogant and overconfident, but only because he knows he's a strong man with great fighting ability. Even so, Zoro knows that he still has a lot of untapped potential, and is constantly seen training and trying to improve his fighting skills. He also adheres to a strict sword master's code of honor, and never falsely brags or lies about his abilities, sometimes outright admitting a weakness, even to an enemy. He also never tries to escape from a fight or use trickery to win, believing that doing so is cowardly and scorning anyone who uses such tactics. Zoro is very vigorous, strong-willed, and determined."
64,Franky,フランキー,Franky,https://myanimelist.net/character/64/Franky,"[{""name"": ""Age"", ""value"": ""34; 36""}, {""name"": ""Birthdate"", ""value"": ""March 9""}, {""name"": ""Zodiac Sign"", ""value"": ""Pisces""}, {""name"": ""Height"", ""value"": ""225 cm (7'4½\"")""}, {""name"": ""Affiliation"", ""value"": ""Straw Hat Pirates; Franky Family (former); Tom's Workers (former)""}, {""name"": ""Position"", ""value"": ""Shipwright""}, {""name"": ""Devil Fruit"", ""value"": ""none""}, {""name"": ""Bounty"", ""value"": ""394,000,000 (previously: 44,000,000 and 94,000,000)""}]","Franky is a 34 year old cyborg who is the shipwright of the Straw Hat Pirates and their third most recently recruited member. He first appeared in the Water 7 arc. Franky is one of ""Tom's Workers"", with the original name ""Cutty Flam."" Franky's dream is to build a ship that would travel to the end of the Grand Line. This is the ship that the Straw Hats are currently riding, but his dream is not yet achieved until they make it to the end. Franky usually acts tough and is quickly angered, but he is also very emotional when it comes to sad tales and often bursts into large tears, or on some occasions, plays a song. His most distinguishable personality trait is his flamboyant attitude. He frequently shouts the word 'SUPER' when he's in a positive mood or adds it into his speech. He also has a signature pose which he uses very often. Franky is quick to defend other people (e.g. Franky Family, Nico Robin) and take action if his friends are harmed. He is also quick in making friends, allies, and comrades with even the most unlikely of individuals. Because of this, he is seen as a 'big brother' figure. Monkey D. Luffy bears similar qualities (with the exception of engaging in unnecessary fights) and because of this, despite the disputes the two had in the past, both grew to respect each other during the events of the Enies Lobby Arc."
305,Sanji,サンジ,Sanji,https://myanimelist.net/character/305/Sanji,"[{""name"": ""Age"", ""value"": ""19→21""}, {""name"": ""Birthday"", ""value"": ""March 2""}, {""name"": ""Zodiac"", ""value"": ""Pisces""}, {""name"": ""Height"", ""value"": ""177 cm (5' 9\"") → 180 cm (5'11\"")""}, {""name"": ""Blood type"", ""value"": ""RH-""}, {""name"": ""Affiliation"", ""value"": ""Straw Hat Pirates; Baratie (former)""}, {""name"": ""Position"", ""value"": ""Cook""}, {""name"": ""Devil Fruit"", ""value"": ""none""}, {""name"": ""Bounty"", ""value"": ""1,032,000,000 (previously: 330,000,000 ← 177,000,000 ← 77,000,000)""}]","Sanji is the chain-smoking chef of the Straw Hat Pirate Crew. He has superb fighting skills that only make use of his legs, in an effort to minimize damage to his hands which would impair his cooking skills. Except a single fight where he uses knives against a fellow chef. Sanji uses an array of powerful and varied kicking moves when he fights. His cooking skills are world class, and he was mentored in both cooking and fighting by Chef ""Red Leg"" Zeff of the Baratie. He was born in the North Blue, but grew up in the East Blue. Sanji is trash-talking and serious, and usually gruff and impatient, especially around men. This is contrasted by his ""love-cook"" side, as he is very amorous around women. Sanji is completely devoted to any beautiful woman, usually losing all common sense and composure in front of them, then attempting to comically swoon them. This behavior has earned him the nickname ""ero-cook,"" or perverted cook. He can also be very chivalrous and gentlemanly around women, volunteering to help them in various tasks and situations, whether they need help or not. He has sworn to never let insult or injury happen to any woman while he can still stand, even if that woman is trying to kill him. This is often problematic in his fighting as he can't attack female opponents, and would rather die than hurt them. All this is apparently the result of a ""strict upbringing."" To contradict his gentlemanly behavior, Sanji also enjoys seeing women wear skimpy clothing, and can be a voyeur. His goal in life is to find the All Blue, a legendary ocean, which contains all the fish in the world. As such, it would be paradise for any cook with as much love for his work as Sanji, who holds great respect for the tools, ingredients, and art of cooking. So great is his devotion to his calling, that Sanji will not let any person or creature starve, regardless of them being friend or foe. Being the crew's chef, he looks out for the health of his crewmates. Sanji respects Luffy as a captain, but often gets angry at him for eating too much, showing disrespect for the aesthetics of cooking, and generally being daft and irresponsible. He is constantly in petty fights with Zoro (sometimes calling him Marimo) over each others' traits and they have developed a rivalry, but have managed to make a devastating team together. He is very protective of the female crew members and Nami likes to take advantage of him, exploiting his extreme servility. Sanji originally wanted to cook Chopper, but has come to respect him as a crew member and friend. He's also good friends with Usopp; they team up and interact often, and Sanji understands him quite well. In short, he cares as much for the crew as any Straw Hat should, but unlike Zoro, Sanji shows these feelings more. It is revealed that Sanji is the third son of the Vinsmokes, a family of killers. His father and one of the Yonkou, Big Mom, had arranged a marriage between him and the 35th daughter of the Charlotte family, Pudding during the strawhats time on Zoe/Dressrosa."
309,Chopper Tony Tony,トニートニー・チョッパー,"Tony Tony, Chopper",https://myanimelist.net/character/309/Chopper_Tony_Tony,"[{""name"": ""Age"", ""value"": ""15, 17""}, {""name"": ""Birthday"", ""value"": ""December 24""}, {""name"": ""Zodiac sign"", ""value"": ""Capricorn""}, {""name"": ""Affliation"", ""value"": ""Straw Hat Pirates""}, {""name"": ""Position"", ""value"": ""Doctor""}, {""name"": ""Devil Fruit"", ""value"": ""Hito Hito no Mi (Human Human Fruit)""}, {""name"": ""Type"", ""value"": ""Zoan""}, {""name"": ""Bounty"", ""value"": ""1000 (previously: 50 and 100)""}]","He is the Straw Hat crew's general physician despite being a reindeer. After a set of unusual circumstances, he ate the Hito Hito no Mi (Human Human Fruit), which permitted him the ability to speak, think, and, to a limited extent, change into a human. Chopper often acts like a child, but he is an upright friend and companion who will try anything to overcome a task given by his team. He also still has distrust in humankind because of events in his youth, where he was treated as a brutal monster. He will often outright insult a human who compliments him while smiling, dancing, and being obviously pleased. He also shows a certain interest in books, but mostly medicine related ones. Chopper is more or less on a journey to define himself, seeing almost anybody on his crew as a role model. This, combined with his naiveness, often causes him to imitate the other Straw Hats' actions, no matter how obviously silly. Because of this, he often gets involved in the crazy antics of Luffy and Usopp, wholeheartedly believing that what they are doing is sensible and fun. Chopper is one of the most innocent Straw Hat Pirates, and is also very naive, resulting in a tendency to believe anything told to him, even the outrageously fictitious and exaggerated lies of Usopp. Sanji originally wanted to cook Chopper and continues to refer to him as ""the emergency food supply"" to tease him but considers him a friend. Although he is the crew's doctor he wasn't originally hired by Luffy for that purpose. But actually, in Luffy's words, for being ""cool reindeer that can transform."""
723,Nami,ナミ,Nami,https://myanimelist.net/character/723/Nami,"[{""name"": ""Age"", ""value"": ""18→20""}, {""name"": ""Birthdate"", ""value"": ""July 3, Cancer""}, {""name"": ""Height"", ""value"": ""169 cm (5' 6½\"") → 170 cm (5' 7\"")""}, {""name"": ""Sizes"", ""value"": ""95-55-85 → 98-58-88""}, {""name"": ""Affiliation"", ""value"": ""Straw Hat Pirates; Arlong Pirates (former)""}, {""name"": ""Position"", ""value"": ""Navigator""}, {""name"": ""Devil fruit"", ""value"": ""none""}, {""name"": ""Bounty"", ""value"": ""366,000,000 (previously: 16,000,000 and 66,000,000)""}]","She is the first member of the Straw Hat Pirates to appear (in the anime), but the third to align herself with the crew, and the fifth to actually join. Possibly one of the best (or even the best) navigators currently sailing the Grand Line, she has the ability to recognize and analyze even the slightest changes in the weather through sheer intuition, thus saving the ship and the crew from the very unstable Grand Line weather on multiple occasions. Nami has a tattoo on her left shoulder (a homage to her past), where she used to have a shark tattoo for being a member of Arlong's Crew. The new tattoo represents mikan (a fruit commonly know as tangerine) and pinwheels. She respects Luffy's qualities as a leader, but often gets angry of his irrational thinking and short attention span, even so she trusts him with her life. Despite the fact that Nami has deceived the crew, Luffy still trusts her enough to allow her to safe-keep his precious straw hat. She is almost always the one who gives orders on the ship (much to the Zoro's resentment) because of Luffy's usual lack of common sense. She often comically beats or hits her other crewmates for their nonsense, which occurs quite often. Robin is actually the only person Nami doesn't try to boss, and she referred to her as the only person who understands her, though in a comical fashion. She is very manipulative as well and can even turn an entire conversation in her favor when necessary, often putting on disguises and tricking the enemy. Acting as the ""mother"" of the crew, Nami doesn't understand or approve of the boys' often macho attitudes and principles. These are the only situations where Nami doesn't get the final word. Nami's two favorite things are money and tangerines. She is greedy and will do anything, aside from abandoning or killing her friends, for money. Due to her past - After having gathered money for 8 years (and even before that often stole things), Nami is naturally accustomed to it, but thinks of her friends as more important. She is very manipulative, and often takes advantage of Sanji for his devotion to her and Usopp to maintain her weapons. Roronoa Zoro tries not to fall for her schemes, but ends up a victim like the rest, usually due to debt and blackmail. Nami also tries to avoid fights, and is one of the less adventurous and brave members of the crew. However, since the invention of her Clima Tact (A weapon that forms weather patterns), she is now seen fighting her own battles instead of becoming the 'easy target,' as she doesn't want to be the one being saved anymore."
724,Usopp,ウソップ,Usopp,https://myanimelist.net/character/724/Usopp,"[{""name"": ""Age"", ""value"": ""17, 19""}, {""name"": ""Birthdate"", ""value"": ""April 1, Aries""}, {""name"": ""Height"", ""value"": ""174 cm (5'8½\"")""}, {""name"": ""Affiliation"", ""value"": ""Straw Hat Pirates; Usopp Pirates (former)""}, {""name"": ""Position"", ""value"": ""Sniper""}, {""name"": ""Devil Fruit"", ""value"": ""none""}, {""name"": ""Bounty"", ""value"": ""500,000,000 (previously: 200,000,000)""}, {""name"": ""Likes"", ""value"": ""Being seen as a hero, the Going Merry, Adventure""}, {""name"": ""Dislikes"", ""value"": ""Failure""}]","Usopp is a liar and likes to play pranks on his crew members or just goof off with Luffy and Chopper. He loves to tell tall tales to Chopper (who believes him blindly) or anyone who's listening. The other aspect of Usopp besides his lying is his cowardice; he is a very timid person, or so he thinks. In extremely stressful situations, Usopp has proven to be far more courageous than he believes himself to be. He shows great resolve when his friends are threatened or mocked by outsiders. Even though he is a complete coward in battle (except as his alter ego, Sogeking), he is a useful part to the Straw Hat Pirates. He is extremely handy and can fix almost anything. He sometimes sees a role model in Zoro who never seems afraid but always proud. Usopp lacks a bit of self esteem and is often taken advantage of by Nami to make her weapons or repair and improve them - something he is very adept at, having constructed the ingenious weapon ""Clima Tact."" Usopp will also stand up and fight for not only the well-being of people, but also for their ideals - and the ideals of a pirate, which he holds very high. In battle he normally tries to trick his enemy by telling tales or mischievous lies to deceive them. Despite his lack of physical strength compared to other members of the crew, Usopp seems to be just as resilient as his comrades and this ability to bear loads and loads of damage, is one of his best traits, in addition to his cunning and intelligence, which has saved the Straw Hats on many occasions. Also, Usopp has outstanding marksmanship abilities with his slingshot and is on his way to becoming one of the best snipers in the One Piece world, although his goal in life is to become a proud and strong pirate like his father Yasopp of the Red Haired Pirate Crew."
725,Buggy,バギー,Buggy,https://myanimelist.net/character/725/Buggy,"[{""name"": ""Age"", ""value"": ""37 (debut); 39 (current)""}, {""name"": ""Birthday"", ""value"": ""August 8""}, {""name"": ""Height"", ""value"": ""192 cm (6' 3½\"")""}, {""name"": ""Affiliations"", ""value"": ""Buggy's Delivery;  Shichibukai (former); Cross Guild; Roger Pirates (former)""}, {""name"": ""Devil Fruit"", ""value"": ""Bara Bara no Mi (Chop-Chop Fruit)""}, {""name"": ""Type"", ""value"": ""Paramecia""}, {""name"": ""Bounty"", ""value"": ""3,189,000,000 (previously; 15,000,000)""}]","Buggy is the main antagonist of the Orange Town Arc and can be considered the secondary antagonist of the Loguetown Arc. He has since become a highly recurring character in the series. He accidentally consumed the Bara Bara no Mi, (Chop Chop fruit) a Devil Fruit, which allows him to separate his body parts and control them independent of each other, but robbed him of the ability to swim. The abilities gained from this fruit also make Buggy immune to attacks from knives or swords; any such attack just separates him into his component parts. In addition, most of his body is capable of flying through the air, fast enough to propel a man through a wall—with the crucial exception of his feet. However, even though the parts are separate, Buggy can still feel what the part feels (for example, when Luffy attacked Buggy, he separated his torso from his waist, only to find that Luffy was aiming for the crotch. Needless to say this left him with a rather painful result. Also when Buggy launched his hand out to pin down Zoro for Cabaji's Sting of the Unicycle Technique, Luffy stomped on it, inflicting tremendous pain). He also seems to require either a fixed distance from his detachments, or keep them within his line of vision, in order to manipulate them separately. Besides his Devil fruit abilities, he usually fights with three knives between his fingers. During the flashbacks of his youth, he already used these three knives. He also has a blade hidden in his shoe, and in Logue Town, he used a sword in his failed attempt to execute Luffy. Marineford Arc: Buggy's influence grew exponentially during the Impel Down Arc after he freed hundreds of powerful prisoners from Impel Down whose individual bounties are much higher than his own. After it was revealed that Buggy was once a member of the Roger Pirates, these prisoners came to heavily respect him and follow him wherever he went. Buggy's newfound authority created by his association with the Roger Pirates even attracted the attention of the World Government, who offered him a Warlord position. Buggy used this position to run a mercenary business called Buggy's Delivery, where he had authority over a large number of powerful mercenaries including giants from Elbaf. Levely Arc: The Seven Warlords system has been dissolved, and Buggy is now an enemy of the World Government again. He can no longer operate outside the law as he pleases. Wano Arc: It is revealed that Buggy actually became one of the four emperors of the sea, alongside Blackbeard, Luffy, and Shanks. He starts an organization with two former warlords, Mihawk and Sir Crocodile, known as ""Cross Guild."" The Cross Guild put bounties to marine soldiers, and now, the navy have to be afraid of even civilians who could kill them."
726,Vivi Nefertari,ネフェルタリ・ビビ,"Nefertari, Vivi",https://myanimelist.net/character/726/Vivi_Nefertari,"[{""name"": ""Age"", ""value"": ""16; 18""}, {""name"": ""Birthday"", ""value"": ""February 2""}, {""name"": ""Zodiac"", ""value"": ""Aquarius""}, {""name"": ""Affiliation"", ""value"": ""Alabasta Royal Family; Straw Hat Pirates (temporarily)""}, {""name"": ""Position"", ""value"": ""Princess of Alabasta""}, {""name"": ""Devil Fruit"", ""value"": ""None""}]","Nefertari Vivi first appears as an antagonist as the main characters reach the Grand Line, as a member of Baroque Works, a criminal organization that was behind several scandals in the country of Alabasta. It is revealed that Vivi is actually the princess of Alabasta, but infiltrated Baroque Works as Miss Wednesday to find the identity of the leader, who turns out to be the Shichibukai member Sir Crocodile. With help from the Straw Hat Crew, she was able to reveal the truth to her people, ending several uprisings and stopping battles that would have forever ruined the nation. Trivia The word ""Nefertari"" in Vivi and her father's names is ancient Egyptian, and means ""the most beautiful"" or ""most wonderful"". It was a word often used to describe Egyptian queens and princesses. Oda admitted the Alabasta arc was based around ancient Egypt, but apparently had no clue on what the word meant when he chose the name. Despite her long absence from the series and her separation from ties to the Straw Hat crew, Vivi was featured on the cover page of chapters 271, 423 and 484, usually reserved to Straw Hats. That makes her the only non-Straw Hat other than the Going Merry to appear on a cover page. In the English manga and anime, her name is romanized as ""Nefeltari Vivi"". (Source: Wikipedia)"
